Cu_1,Pt_1,Sn_1,Zn_1,Cu_2,Pt_2,Sn_2,Zn_2,Cu_3,Pt_3,Sn_3,Zn_3,Eads
0,2,0,0,1,0,1,0,0,1,0,0,-0.203988
0,2,0,0,2,0,0,0,0,0,0,1,-0.239078
0,2,0,0,0,0,2,0,0,1,0,0,-0.210248
0,2,0,0,0,1,1,0,1,0,0,0,-0.231918
1,1,0,0,0,2,0,0,1,0,0,0,-0.261828
1,1,0,0,0,2,0,0,0,1,0,0,-0.260508
1,1,0,0,0,0,2,0,0,1,0,0,-0.135528
1,1,0,0,0,1,1,0,0,1,0,0,-0.222338
0,1,1,0,0,1,0,1,0,0,0,1,-0.241208
0,1,1,0,1,0,0,1,0,0,0,1,-0.216308
0,1,1,0,0,2,0,0,0,0,0,1,-0.252338
0,1,1,0,2,0,0,0,0,0,0,1,-0.222258
0,1,0,1,0,0,0,2,0,1,0,0,-0.209268
0,1,0,1,0,0,1,1,0,0,1,0,-0.186968
0,1,0,1,0,0,1,1,1,0,0,0,-0.192258
0,1,0,1,1,0,0,1,0,1,0,0,-0.214938
2,0,0,0,0,0,1,1,0,1,0,0,-0.163698
2,0,0,0,0,2,0,0,0,0,1,0,-0.233668
2,0,0,0,0,2,0,0,0,0,0,1,-0.242498
2,0,0,0,2,0,0,0,0,0,0,1,-0.204838
1,0,1,0,1,0,0,1,0,1,0,0,-0.127468
1,0,1,0,1,0,0,1,0,0,0,1,-0.164268
1,0,1,0,0,2,0,0,0,1,0,0,-0.220868
1,0,1,0,0,2,0,0,0,0,1,0,-0.201918
1,0,0,1,1,0,1,0,0,0,1,0,0.015152
1,0,0,1,1,1,0,0,0,0,0,1,-0.216018
1,0,0,1,1,0,1,0,0,0,0,1,-0.183118
1,0,0,1,0,0,2,0,1,0,0,0,-0.129988
0,0,2,0,2,0,0,0,0,0,0,1,-0.095168
0,0,2,0,1,0,1,0,0,0,1,0,-0.090438
0,0,2,0,0,0,2,0,0,1,0,0,-0.089278
0,0,2,0,1,1,0,0,1,0,0,0,-0.102598
0,0,1,1,1,0,1,0,0,0,1,0,-0.115028
0,0,1,1,2,0,0,0,0,0,1,0,-0.120068
0,0,1,1,0,1,0,1,0,0,0,1,-0.131018
0,0,1,1,1,0,0,1,0,1,0,0,-0.153718
0,0,0,2,0,0,2,0,1,0,0,0,-0.125968
0,0,0,2,0,0,2,0,0,1,0,0,-0.126518
0,0,0,2,0,1,1,0,0,1,0,0,-0.197668
0,0,0,2,1,0,1,0,0,1,0,0,-0.173538
