Cu_1,Pt_1,Sn_1,Zn_1,Cu_2,Pt_2,Sn_2,Zn_2,Cu_3,Pt_3,Sn_3,Zn_3,Eads
0,2,0,0,0,0,2,0,0,1,0,0,-0.2897317
0,2,0,0,0,1,1,0,1,0,0,0,0.2000783
1,1,0,0,0,2,0,0,1,0,0,0,-0.3258017
1,1,0,0,0,2,0,0,0,1,0,0,-0.4752317
1,1,0,0,0,0,2,0,0,1,0,0,0.1393683
1,1,0,0,0,1,1,0,0,1,0,0,-0.1747017
0,1,1,0,0,1,0,1,0,0,0,1,-0.0090117
0,1,1,0,1,0,0,1,0,0,0,1,0.0300083
0,1,1,0,0,2,0,0,0,0,0,1,-0.0744817
0,1,1,0,2,0,0,0,0,0,0,1,0.0050483
0,1,0,1,0,0,1,1,1,0,0,0,0.0248583
0,1,0,1,1,0,0,1,0,1,0,0,-0.5352517
2,0,0,0,0,0,1,1,0,1,0,0,0.4832983
2,0,0,0,0,2,0,0,0,0,1,0,0.2732083
2,0,0,0,0,2,0,0,0,0,0,1,0.3653183
2,0,0,0,2,0,0,0,0,0,0,1,0.1148683
1,0,1,0,1,0,0,1,0,1,0,0,0.3104983
1,0,1,0,1,0,0,1,0,0,0,1,0.4447783
1,0,1,0,0,2,0,0,0,1,0,0,0.4331683
1,0,1,0,0,2,0,0,0,0,1,0,0.2710583
1,0,0,1,1,0,1,0,0,0,1,0,0.1924483
1,0,0,1,1,1,0,0,0,0,0,1,0.2620883
0,2,0,0,1,0,1,0,0,1,0,0,-0.0065717
0,2,0,0,2,0,0,0,0,0,0,1,-0.3504017
1,0,0,1,1,0,1,0,0,0,0,1,0.4105783
1,0,0,1,0,0,2,0,1,0,0,0,0.8061083
0,0,2,0,2,0,0,0,0,0,0,1,0.4292283
0,0,2,0,1,0,1,0,0,0,1,0,0.4361683
0,0,2,0,0,0,2,0,0,1,0,0,0.7389083
0,0,2,0,1,1,0,0,1,0,0,0,0.4143683
0,0,1,1,1,0,1,0,0,0,1,0,0.6826483
0,1,0,1,0,0,0,2,0,1,0,0,-0.4918717
0,1,0,1,0,0,1,1,0,0,1,0,-0.1932217
0,0,1,1,2,0,0,0,0,0,1,0,0.7313083
0,0,1,1,0,1,0,1,0,0,0,1,0.7123483
0,0,1,1,1,0,0,1,0,1,0,0,0.8870583
0,0,0,2,0,0,2,0,1,0,0,0,0.8567583
0,0,0,2,0,0,2,0,0,1,0,0,0.6298983
0,0,0,2,0,1,1,0,0,1,0,0,0.4942083
0,0,0,2,1,0,1,0,0,1,0,0,0.4442883
