Cu_1,Pt_1,Sn_1,Zn_1,Cu_2,Pt_2,Sn_2,Zn_2,Cu_3,Pt_3,Sn_3,Zn_3,Eads
0,2,0,1,2,0,1,0,0,0,0,1,-0.2576937
0,2,0,1,0,1,2,0,0,0,0,1,-0.1387237
0,2,0,1,0,2,0,1,0,1,0,0,-0.1458737
0,2,0,1,0,0,3,0,0,0,1,0,0.0411563
2,1,0,0,0,0,3,0,0,0,0,1,-0.0991037
2,1,0,0,0,0,1,2,0,0,1,0,-0.1972137
2,1,0,0,1,1,0,1,0,1,0,0,-0.2652937
2,1,0,0,0,0,0,3,0,1,0,0,-0.2229137
1,1,1,0,1,2,0,0,1,0,0,0,0.3528763
1,1,1,0,0,2,0,1,0,1,0,0,0.3424363
1,1,1,0,0,1,1,1,0,0,0,1,0.1614063
1,1,1,0,0,3,0,0,0,1,0,0,0.2816563
1,1,0,1,2,1,0,0,0,0,0,1,-0.1075437
1,1,0,1,0,0,1,2,0,1,0,0,0.1778363
1,1,0,1,0,0,1,2,1,0,0,0,-0.0117537
1,1,0,1,1,1,1,0,0,0,1,0,-0.0385337
0,1,2,0,2,0,0,1,0,0,0,1,0.5689363
0,1,2,0,0,0,1,2,0,1,0,0,0.4957963
0,1,2,0,1,0,2,0,0,0,0,1,0.5812963
0,1,2,0,2,0,1,0,0,0,0,1,0.4588063
0,1,1,1,0,1,0,2,1,0,0,0,0.1851963
0,1,1,1,1,0,1,1,0,1,0,0,0.1378063
0,3,0,0,0,1,2,0,0,1,0,0,-0.1081237
0,3,0,0,1,1,0,1,1,0,0,0,-0.2788237
0,1,1,1,0,2,1,0,0,1,0,0,0.1681163
0,1,1,1,0,1,1,1,1,0,0,0,0.1259763
0,1,0,2,0,0,3,0,1,0,0,0,0.2048163
0,1,0,2,3,0,0,0,0,0,1,0,0.0151063
0,1,0,2,1,0,0,2,1,0,0,0,0.0118263
0,1,0,2,1,1,0,1,0,0,0,1,0.0937263
3,0,0,0,0,3,0,0,1,0,0,0,0.0124063
3,0,0,0,1,2,0,0,1,0,0,0,-0.0797437
3,0,0,0,2,0,1,0,1,0,0,0,-0.1847337
3,0,0,0,1,2,0,0,0,0,1,0,-0.1584937
2,0,1,0,2,1,0,0,0,0,1,0,0.3283363
2,0,1,0,1,0,2,0,0,1,0,0,0.3649163
2,0,1,0,0,3,0,0,1,0,0,0,0.4665363
2,0,1,0,1,1,1,0,1,0,0,0,0.3576563
2,0,0,1,1,0,0,2,0,0,1,0,-0.1739437
2,0,0,1,0,1,1,1,0,0,1,0,0.0618263
2,0,0,1,0,3,0,0,1,0,0,0,0.2184263
2,0,0,1,0,2,0,1,0,0,0,1,0.1111663
1,0,2,0,1,0,2,0,0,0,1,0,0.3919863
1,0,2,0,0,1,0,2,0,0,0,1,0.6474863
1,0,2,0,0,0,0,3,1,0,0,0,0.6081563
1,0,2,0,2,0,0,1,1,0,0,0,0.6522363
1,0,1,1,2,0,0,1,0,1,0,0,0.4284963
1,0,1,1,1,0,2,0,1,0,0,0,0.4577963
1,0,1,1,1,2,0,0,0,0,0,1,0.2823763
1,0,1,1,1,0,1,1,0,0,0,1,0.3256263
1,0,0,2,3,0,0,0,1,0,0,0,0.1256763
1,0,0,2,1,2,0,0,0,0,1,0,0.2390563
0,3,0,0,0,0,1,2,0,0,0,1,-0.1641437
0,3,0,0,0,0,2,1,0,0,1,0,-0.1791637
1,0,0,2,0,0,2,1,1,0,0,0,0.2261363
1,0,0,2,0,1,2,0,0,0,1,0,0.3346663
0,0,3,0,1,2,0,0,1,0,0,0,0.2732363
0,0,3,0,1,2,0,0,0,0,0,1,0.2469263
0,0,3,0,0,0,0,3,0,1,0,0,0.6099663
0,0,3,0,0,0,2,1,0,0,0,1,0.5457463
0,0,2,1,0,0,1,2,0,0,1,0,0.4529163
1,2,0,0,2,1,0,0,0,1,0,0,-0.3566137
1,2,0,0,3,0,0,0,0,0,0,1,-0.4038337
0,0,2,1,2,0,1,0,1,0,0,0,0.9088163
0,0,2,1,1,0,2,0,1,0,0,0,0.7845563
0,0,2,1,0,1,1,1,0,1,0,0,0.5870063
