Cu_1,Pt_1,Sn_1,Zn_1,Cu_2,Pt_2,Sn_2,Zn_2,Cu_3,Pt_3,Sn_3,Zn_3,Eads
0,2,0,0,1,0,1,0,0,1,0,0,0.0069583
0,2,0,0,2,0,0,0,0,0,0,1,-0.3706817
0,2,0,0,0,0,2,0,0,1,0,0,-0.2452617
0,2,0,0,0,1,1,0,1,0,0,0,0.2014083
1,1,0,0,0,2,0,0,1,0,0,0,-0.2926117
1,1,0,0,0,2,0,0,0,1,0,0,-0.3452717
1,1,0,0,0,0,2,0,0,1,0,0,0.1365283
1,1,0,0,0,1,1,0,0,1,0,0,-0.1114917
0,1,1,0,0,1,0,1,0,0,0,1,-0.4213417
0,1,1,0,1,0,0,1,0,0,0,1,-0.4094417
0,1,1,0,0,2,0,0,0,0,0,1,-0.3665617
0,1,1,0,2,0,0,0,0,0,0,1,-0.4301717
0,1,0,1,0,0,0,2,0,1,0,0,-0.5628417
0,1,0,1,0,0,1,1,0,0,1,0,-0.3348217
0,1,0,1,0,0,1,1,1,0,0,0,-0.2662617
0,1,0,1,1,0,0,1,0,1,0,0,-0.5563417
2,0,0,0,0,0,1,1,0,1,0,0,-0.4446817
2,0,0,0,0,2,0,0,0,0,1,0,-0.5328817
2,0,0,0,0,2,0,0,0,0,0,1,-0.4135417
2,0,0,0,2,0,0,0,0,0,0,1,-0.6449117
1,0,1,0,1,0,0,1,0,1,0,0,-0.5316917
1,0,1,0,1,0,0,1,0,0,0,1,-0.4745517
1,0,1,0,0,2,0,0,0,1,0,0,-0.4804817
1,0,1,0,0,2,0,0,0,0,1,0,-0.6174617
1,0,0,1,1,0,1,0,0,0,1,0,-0.6524017
1,0,0,1,1,1,0,0,0,0,0,1,-0.5360017
1,0,0,1,1,0,1,0,0,0,0,1,-0.4492717
1,0,0,1,0,0,2,0,1,0,0,0,-0.1363717
0,0,2,0,2,0,0,0,0,0,0,1,-0.6460817
0,0,2,0,1,0,1,0,0,0,1,0,-0.6280417
0,0,2,0,0,0,2,0,0,1,0,0,-0.2087117
0,0,2,0,1,1,0,0,1,0,0,0,-0.6363517
0,0,1,1,1,0,1,0,0,0,1,0,-0.7547517
0,0,1,1,2,0,0,0,0,0,1,0,-0.7062417
0,0,1,1,0,1,0,1,0,0,0,1,-0.6530617
0,0,1,1,1,0,0,1,0,1,0,0,-0.4349717
0,0,0,2,0,0,2,0,1,0,0,0,-0.4075517
0,0,0,2,0,0,2,0,0,1,0,0,-0.4785917
0,0,0,2,0,1,1,0,0,1,0,0,-0.5844417
0,0,0,2,1,0,1,0,0,1,0,0,-0.5924217
