Cu_1,Pt_1,Sn_1,Zn_1,Cu_2,Pt_2,Sn_2,Zn_2,Cu_3,Pt_3,Sn_3,Zn_3,Eads
0,1,0,0,4,0,0,2,1,0,1,1,-0.48721
0,1,0,0,0,2,2,2,0,2,0,1,-0.52833
0,1,0,0,3,0,2,1,1,0,2,0,-0.45624
0,1,0,0,0,0,3,3,0,1,2,0,-0.36957
0,1,0,0,2,2,1,1,0,0,3,0,-0.4351
0,1,0,0,1,0,4,1,1,2,0,0,-0.34383
0,1,0,0,2,0,1,3,1,2,0,0,-0.50155
0,1,0,0,0,4,0,2,1,1,1,0,-0.53992
0,1,0,0,5,1,0,0,0,1,0,2,-0.58788
0,1,0,0,0,3,0,3,0,0,1,2,-0.47475
0,1,0,0,0,3,1,2,2,0,1,0,-0.28418
0,1,0,0,2,1,0,3,2,1,0,0,-0.45238
0,1,0,0,0,1,3,2,2,1,0,0,-0.34983
0,1,0,0,1,1,0,4,1,0,2,0,-0.36209
0,1,0,0,2,0,4,0,2,0,0,1,-0.24077
0,1,0,0,6,0,0,0,0,0,0,3,-0.43048
0,1,0,0,1,4,1,0,0,0,1,2,-0.59458
0,1,0,0,3,1,1,1,2,0,0,1,-0.52931
0,1,0,0,0,2,3,1,0,0,0,3,-0.32101
0,1,0,0,1,2,3,0,2,0,1,0,-0.38806
1,0,0,0,0,2,0,4,0,0,1,2,-0.5103
1,0,0,0,1,1,1,3,1,1,0,1,-0.60711
1,0,0,0,0,1,0,5,1,1,1,0,-0.39506
1,0,0,0,0,0,0,6,1,0,0,2,-0.33471
1,0,0,0,0,4,0,2,0,1,1,1,-0.6063
1,0,0,0,0,5,1,0,0,2,1,0,-0.57598
1,0,0,0,1,5,0,0,0,1,0,2,-0.61864
1,0,0,0,4,0,2,0,3,0,0,0,-0.35873
1,0,0,0,1,1,2,2,0,2,1,0,-0.43303
1,0,0,0,0,3,1,2,1,2,0,0,-0.51567
1,0,0,0,3,0,0,3,0,2,0,1,-0.4063
1,0,0,0,2,1,1,2,0,1,0,2,-0.47494
1,0,0,0,1,2,1,2,0,3,0,0,-0.48537
1,0,0,0,1,2,3,0,1,1,0,1,-0.35562
1,0,0,0,0,1,0,5,0,1,0,2,-0.35711
1,0,0,0,3,0,0,3,1,1,0,1,-0.49678
1,0,0,0,1,3,0,2,2,0,1,0,-0.57177
1,0,0,0,4,1,0,1,0,1,2,0,-0.64675
1,0,0,0,3,3,0,0,2,1,0,0,-0.5002
1,0,0,0,2,0,0,4,0,2,0,1,-0.528
0,0,1,0,1,2,3,0,0,1,1,1,-0.14744
0,0,1,0,1,1,3,1,1,2,0,0,-0.34262
0,0,1,0,0,1,4,1,0,2,1,0,-0.1878
0,0,1,0,0,5,0,1,0,0,0,3,-0.27456
0,0,1,0,2,0,0,4,0,2,0,1,-0.22761
0,0,1,0,3,2,1,0,0,0,0,3,-0.24341
0,0,1,0,0,4,0,2,0,0,0,3,-0.27348
0,0,1,0,4,0,1,1,1,1,1,0,-0.30472
0,0,1,0,1,1,2,2,0,0,0,3,-0.14183
0,0,1,0,1,0,0,5,0,0,1,2,-0.23598
0,0,1,0,0,2,1,3,1,1,1,0,-0.26977
0,0,1,0,1,2,3,0,0,2,0,1,-0.35407
0,0,1,0,1,0,4,1,3,0,0,0,-0.3104
0,0,1,0,1,0,4,1,1,0,2,0,-0.14071
0,0,1,0,5,1,0,0,1,0,0,2,-0.29822
0,0,1,0,0,0,2,4,1,1,0,1,-0.24372
0,0,1,0,1,3,0,2,1,0,1,1,-0.35404
0,0,1,0,3,2,1,0,2,0,0,1,-0.21374
0,0,1,0,2,3,0,1,0,0,3,0,-0.32495
0,0,1,0,0,2,0,4,0,0,1,2,-0.29958
0,0,0,1,5,0,0,1,1,0,2,0,-0.53188
0,0,0,1,3,2,0,1,0,0,2,1,-0.66151
0,0,0,1,2,0,1,3,0,0,0,3,-0.44809
0,0,0,1,0,1,3,2,0,1,0,2,-0.37181
0,0,0,1,0,1,4,1,0,1,1,1,-0.37815
0,0,0,1,2,1,0,3,0,0,2,1,-0.59619
0,0,0,1,0,0,6,0,1,1,1,0,-0.30016
0,0,0,1,0,3,1,2,0,1,0,2,-0.48457
0,0,0,1,1,1,0,4,0,0,0,3,-0.48645
0,0,0,1,0,5,1,0,0,0,2,1,-0.70193
0,0,0,1,1,3,0,2,0,1,1,1,-0.63966
0,0,0,1,1,0,5,0,1,0,0,2,-0.27485
0,0,0,1,2,2,2,0,1,1,0,1,-0.24128
0,0,0,1,2,4,0,0,0,2,0,1,-0.67382
0,0,0,1,3,0,1,2,0,0,1,2,-0.46376
0,0,0,1,0,2,4,0,1,0,2,0,-0.4332
0,0,0,1,2,3,0,1,2,0,0,1,-0.63581
0,0,0,1,0,1,2,3,0,2,0,1,-0.24367
0,0,0,1,0,4,1,1,0,1,1,1,-0.35724
0,0,0,1,4,1,0,1,1,2,0,0,-0.62506
